repo,url,stars,last_push,commits_ahead,commits_behind,files_changed,lines_added,note,recent_commits
reedhoop/DeepTutor,https://github.com/reedhoop/DeepTutor,0,2026-09-06,61,528,245,537716,,perf: vLLM 解析并发化（max_concurrency 真正生效） | rebase(fork): harmonize double-modified files onto upstream v1.6.0 | restore fork files dropped during rebase to 86c84d13 | test(er3): 教育模型预设 E2E 验证脚本 + 修复 reports 脚本导入到过时副本 | test+fix: ER-9/12/13/14 单测与 review 修复 + exec 占位附件过滤
vaskoyudha/deeptutor-for-programmer-fork,https://github.com/vaskoyudha/deeptutor-for-programmer-fork,2,2026-07-25,1230,1096,190,409666,,"test(cp): add TDD tests for proposal extra fields, validation retry exhaustion,  | test(cp): add sandbox smoke test + cp conftest fixtures | test(settings): cover code block preview wrapping | test(web): cover code block appearance preferences | test: guard supervisord-as-root + non-root children invariant"
PcRoGamer/DeepTurtol,https://github.com/PcRoGamer/DeepTurtol,0,2026-08-01,112,1071,256,34653,,"fix(web): glass theme — uniformly dark violet water, remove mid/back blur (white | fix(web): glass theme — violet seafoam rim instead of grayish-white | fix(web): replace google fonts with local css font styling to fix turbopack buil | fix(web): white active-tab text on glassy pill for contrast (violet-on-violet) | style: set warm sand background for main app canvas and implement dual-layer sea"
yumaocc/DeepTutor,https://github.com/yumaocc/DeepTutor,0,2026-09-10,4,531,222,30648,,feat: 基础能力搭建 | feat: 增加移动端 | fix: app初始化 | fix: 免登录逻辑处理
edwinly917/DeepTutor,https://github.com/edwinly917/DeepTutor,0,2026-09-25,524,2042,300,28806,,
evan188199-tech/DeepTutor,https://github.com/evan188199-tech/DeepTutor,1,2026-09-24,149,367,138,24855,,test(reading): cover rich annotation clicks | test(reading): stabilize EPUB keyboard navigation audit | test(sync): resolve contract paths from repository root | test(web): align Playwright runtime ports | test(web): align root shell budget with v1.6.7
Creative-Science-Contest-2026/Multiagent-learning-platform,https://github.com/Creative-Science-Contest-2026/Multiagent-learning-platform,0,2026-05-06,586,1736,300,21944,,merge: sync submission-close lane with main after pytest fix [OPS-SUBMIT] | refactor(sidebar): add business shell mode [UI-BIZ-SHELL] (#266) | test(backend): enforce backend coverage gate [T052-COVERAGE] (#274) | test(frontend): enforce coverage gate [T053-COVERAGE] | test(pytest): stabilize baseline test collection [OPS-PYTEST]
johnymoo/DeepTutor,https://github.com/johnymoo/DeepTutor,0,2026-08-18,6,1054,157,20511,,"deploy(x570): add Docker Compose manifest for production run (issue #5) (#2) | docs: design deep research recovery | feat(research): add durable recovery and protocol lifecycle handling | feat: add Feynman learning, multi-model, and media workflows | feat: make Deep Research lifecycle-aware and recoverable (#1)"
jichengzh/DeepTutor_Seu_ai_for_class,https://github.com/jichengzh/DeepTutor_Seu_ai_for_class,0,2026-05-13,9,1887,172,19788,,"feat: add Codex CLI support, dynamic sections, and section detection improvement | feat: add Project Creator — task document + code repo generation | feat: add Python-only constraint and difficulty levels to code generation | fix: resolve CodeGenerator uvloop env dict and Codex binary path issues | fix: resolve LightRAG embedding numpy compatibility and add project output"
zzhtx258/DeepTutor,https://github.com/zzhtx258/DeepTutor,0,2026-01-27,8,2186,300,18806,,refined prompt | refined prompt and minor fixes | update | update log | update test log
